curso,escola,grau,duracao_anos,ects,regime,local,area,estado,observacoes,saidas_profissionais,descricao,resumo,interesses_relacionados,palavras_chave,fonte
Enfermagem de Saúde Mental e Psiquiátrica,ESS,Mestrado,2,120,,Viana do Castelo,Enfermagem de Saúde Mental,Não abre,,enfermagem; saúde mental; psiquiatria; cuidados especializados,Mestrado ligado à intervenção especializada em saúde mental e psiquiatria.,Enfermagem de Saúde Mental e Psiquiátrica — Mestrado do IPVC. Estado da oferta: Não abre.,saúde mental; psicologia; enfermagem; cuidados,enfermagem de saúde mental; psiquiatria; saúde mental,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Enfermagem Médico-Cirúrgica na área de Enfermagem à Pessoa em Situação Crítica,ESS,Mestrado,2,120,,Viana do Castelo,Enfermagem Médico-Cirúrgica,Não abre,,enfermagem médico-cirúrgica; cuidados críticos; urgência; cuidados intensivos,Mestrado ligado aos cuidados especializados à pessoa em situação crítica.,Enfermagem Médico-Cirúrgica na área de Enfermagem à Pessoa em Situação Crítica — Mestrado do IPVC. Estado da oferta: Não abre.,saúde; emergência; cuidados intensivos; enfermagem,enfermagem médico-cirúrgica; cuidados críticos; urgência,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Gestão das Organizações (Gestão de Unidades de Saúde),ESS,Mestrado,2,120,,Viana do Castelo,Gestão em Saúde,Não abre,,gestão de unidades de saúde; administração hospitalar; liderança; qualidade,Mestrado ligado à gestão de organizações e unidades de saúde.,Gestão das Organizações (Gestão de Unidades de Saúde) — Mestrado do IPVC. Estado da oferta: Não abre.,gestão; saúde; hospitais; administração,gestão das organizações; unidades de saúde; gestão em saúde,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Logística (APNOR),ESCE,Mestrado,2,120,,Valença,Logística e Gestão,Abre em 2026/2027,APNOR,logística; supply chain; operações; transportes; distribuição,"Mestrado especializado em logística, gestão da cadeia de abastecimento e operações.",Logística (APNOR) — Mestrado do IPVC. Estado da oferta: Abre em 2026/2027. Observações: APNOR.,logística; transportes; gestão; operações,logística; APNOR; supply chain; operações,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Marketing Digital,ESCE,Mestrado,2,120,,Valença,Marketing e Comunicação Digital,Abre em 2026/2027,,marketing digital; redes sociais; comunicação; estratégia digital; e-commerce,"Mestrado focado em marketing digital, comunicação online e estratégia digital.",Marketing Digital — Mestrado do IPVC. Estado da oferta: Abre em 2026/2027.,marketing; redes sociais; comunicação; digital,marketing digital; comunicação digital; redes sociais; e-commerce,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Marketing,ESCE,Mestrado,2,120,,Valença,Marketing,Descontinuado,,marketing; comunicação; vendas; estratégia,"Mestrado ligado ao marketing, comunicação e estratégia de mercado.",Marketing — Mestrado do IPVC. Estado da oferta: Descontinuado.,marketing; empresas; comunicação; vendas,marketing; comunicação; estratégia,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Atividades de Fitness,ESDL,Mestrado,2,120,,Melgaço,Desporto e Fitness,Abre em 2026/2027,,fitness; exercício físico; ginásios; treino; saúde,"Mestrado ligado às atividades de fitness, exercício físico e promoção de estilos de vida ativos.",Atividades de Fitness — Mestrado do IPVC. Estado da oferta: Abre em 2026/2027.,desporto; fitness; exercício; saúde; treino,fitness; atividades de fitness; exercício físico,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Desportos de Natureza,ESDL,Mestrado,2,120,,Melgaço,Desporto e Natureza,Abre em 2026/2027,1 mestrado | 5 países. A página também apresenta uma entrada semelhante indicada como Não abre; confirmar no site oficial antes da entrega final.,desportos de natureza; turismo ativo; outdoor; aventura; treino,"Mestrado ligado aos desportos de natureza, contexto outdoor e atividade física em ambiente natural.",Desportos de Natureza — Mestrado do IPVC. Estado da oferta: Abre em 2026/2027. Observações: 1 mestrado | 5 países.,desporto; natureza; outdoor; aventura; turismo ativo,desportos de natureza; outdoor; aventura; turismo ativo,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Fisiologia do Exercício e Promoção da Saúde,ESDL,Mestrado,2,120,,Melgaço,Desporto e Saúde,Abre em 2026/2027,,exercício físico; saúde; avaliação física; promoção da saúde,"Mestrado ligado à fisiologia do exercício, prescrição de exercício e promoção da saúde.",Fisiologia do Exercício e Promoção da Saúde — Mestrado do IPVC. Estado da oferta: Abre em 2026/2027.,desporto; saúde; exercício; fisiologia; treino,fisiologia do exercício; promoção da saúde; exercício físico,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Treino Desportivo,ESDL,Mestrado,2,120,,Melgaço,Treino Desportivo,Abre em 2026/2027,,treino desportivo; rendimento; planeamento; modalidades desportivas,"Mestrado ligado ao treino desportivo, rendimento, planeamento e avaliação do treino.",Treino Desportivo — Mestrado do IPVC. Estado da oferta: Abre em 2026/2027.,desporto; treino; rendimento; competição,treino desportivo; rendimento; desporto; competição,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/mestrados/
Administração Escolar e Inovação Educacional,ESE,Pós-graduação,,,,Viana do Castelo,Educação e Administração Escolar,Não abre,,formação especializada; desenvolvimento de competências em educação e administração escolar; aplicação profissional na área,"Formação do IPVC na área de educação e administração escolar, associada à escola ESE.","Administração Escolar e Inovação Educacional — Pós-graduação do IPVC, na escola ESE. Estado da oferta: Não abre.",educação e administração escolar; administração escolar e inovação educacional; formação especializada; carreira profissional,administração escolar; inovação educacional; educação; gestão escolar,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/pos-graduacoes/
Avaliação Gerontológica Multidimensional,ESE,Pós-graduação,,,,Viana do Castelo,Gerontologia e Ciências Sociais,Não abre,,formação especializada; desenvolvimento de competências em gerontologia e ciências sociais; aplicação profissional na área,"Formação do IPVC na área de gerontologia e ciências sociais, associada à escola ESE.","Avaliação Gerontológica Multidimensional — Pós-graduação do IPVC, na escola ESE. Estado da oferta: Não abre.",gerontologia e ciências sociais; avaliação gerontológica multidimensional; formação especializada; carreira profissional,gerontologia; envelhecimento; avaliação gerontológica; idosos,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/pos-graduacoes/
Capacitação para a Educação Digital,ESE,Pós-graduação,,,,Viana do Castelo,Educação Digital,Não abre,,formação especializada; desenvolvimento de competências em educação digital; aplicação profissional na área,"Formação do IPVC na área de educação digital, associada à escola ESE.","Capacitação para a Educação Digital — Pós-graduação do IPVC, na escola ESE. Estado da oferta: Não abre.",educação digital; capacitação para a educação digital; formação especializada; carreira profissional,educação digital; tecnologias educativas; formação de professores,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/pos-graduacoes/
Conexões Matemáticas e Abordagem STEAM no Ensino Básico,ESE,Pós-graduação,,,,Viana do Castelo,"Educação, Matemática e STEAM",Não abre,,"formação especializada; desenvolvimento de competências em educação, matemática e steam; aplicação profissional na área","Formação do IPVC na área de educação, matemática e steam, associada à escola ESE.","Conexões Matemáticas e Abordagem STEAM no Ensino Básico — Pós-graduação do IPVC, na escola ESE. Estado da oferta: Não abre.","educação, matemática e steam; conexões matemáticas e abordagem steam no ensino básico; formação especializada; carreira profissional",matemática; steam; ensino básico; educação,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/pos-graduacoes/
Educação Especial e Inclusão,ESE,Pós-graduação,,,,Viana do Castelo,Educação Especial e Inclusão,Abre em 2025/26,,formação especializada; desenvolvimento de competências em educação especial e inclusão; aplicação profissional na área,"Formação do IPVC na área de educação especial e inclusão, associada à escola ESE.","Educação Especial e Inclusão — Pós-graduação do IPVC, na escola ESE. Estado da oferta: Abre em 2025/26.",educação especial e inclusão; educação especial e inclusão; formação especializada; carreira profissional,educação especial; inclusão; necessidades educativas; apoio educativo,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/pos-graduacoes/
Educação Literária e Literatura para a Infância e Juventude,ESE,Pós-graduação,,,,Viana do Castelo,Educação e Literatura,Não abre,,formação especializada; desenvolvimento de competências em educação e literatura; aplicação profissional na área,"Formação do IPVC na área de educação e literatura, associada à escola ESE.","Educação Literária e Literatura para a Infância e Juventude — Pós-graduação do IPVC, na escola ESE. Estado da oferta: Não abre.",educação e literatura; educação literária e literatura para a infância e juventude; formação especializada; carreira profissional,educação literária; literatura infantil; juventude; leitura,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/pos-graduacoes/
Educação para o Desenvolvimento e Cidadania Global: aprendizagens e alternativas,ESE,Pós-graduação,,,,Viana do Castelo,Educação e Cidadania Global,Não abre,,formação especializada; desenvolvimento de competências em educação e cidadania global; aplicação profissional na área,"Formação do IPVC na área de educação e cidadania global, associada à escola ESE.","Educação para o Desenvolvimento e Cidadania Global: aprendizagens e alternativas — Pós-graduação do IPVC, na escola ESE. Estado da oferta: Não abre.",educação e cidadania global; educação para o desenvolvimento e cidadania global: aprendizagens e alternativas; formação especializada; carreira profissional,cidadania global; desenvolvimento; educação; aprendizagem,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/pos-graduacoes/
"Educação, Ciência e Património Local",ESE,Pós-graduação,,,,Viana do Castelo,"Educação, Ciência e Património",Disponível,,"formação especializada; desenvolvimento de competências em educação, ciência e património; aplicação profissional na área","Formação do IPVC na área de educação, ciência e património, associada à escola ESE.","Educação, Ciência e Património Local — Pós-graduação do IPVC, na escola ESE. Estado da oferta: Disponível.","educação, ciência e património; educação, ciência e património local; formação especializada; carreira profissional",educação; ciência; património local; cultura,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/pos-graduacoes/
Serviços Educativos e Valorização do Património,ESE,Pós-graduação,,,,Viana do Castelo,Educação e Património,Não abre em 2023/24,,formação especializada; desenvolvimento de competências em educação e património; aplicação profissional na área,"Formação do IPVC na área de educação e património, associada à escola ESE.","Serviços Educativos e Valorização do Património — Pós-graduação do IPVC, na escola ESE. Estado da oferta: Não abre em 2023/24.",educação e património; serviços educativos e valorização do património; formação especializada; carreira profissional,serviços educativos; património; museus; cultura,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/pos-graduacoes/
Intervenções Assistidas por Animais,ESA,Pós-graduação,,,,Ponte de Lima,Saúde Animal e Intervenção Assistida,Disponível,,formação especializada; desenvolvimento de competências em saúde animal e intervenção assistida; aplicação profissional na área,"Formação do IPVC na área de saúde animal e intervenção assistida, associada à escola ESA.","Intervenções Assistidas por Animais — Pós-graduação do IPVC, na escola ESA. Estado da oferta: Disponível.",saúde animal e intervenção assistida; intervenções assistidas por animais; formação especializada; carreira profissional,animais; intervenção assistida; saúde animal; bem-estar animal,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/pos-graduacoes/
One Health,ESA,Pós-graduação,,,,Ponte de Lima,"Saúde, Ambiente e Ciências Agrárias",Disponível,,"formação especializada; desenvolvimento de competências em saúde, ambiente e ciências agrárias; aplicação profissional na área","Formação do IPVC na área de saúde, ambiente e ciências agrárias, associada à escola ESA.","One Health — Pós-graduação do IPVC, na escola ESA. Estado da oferta: Disponível.","saúde, ambiente e ciências agrárias; one health; formação especializada; carreira profissional",one health; saúde única; ambiente; animais; saúde pública,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/pos-graduacoes/
Design de Interiores,ESTG,Pós-graduação,,,,Viana do Castelo,Design e Arquitetura de Interiores,Disponível,,formação especializada; desenvolvimento de competências em design e arquitetura de interiores; aplicação profissional na área,"Formação do IPVC na área de design e arquitetura de interiores, associada à escola ESTG.","Design de Interiores — Pós-graduação do IPVC, na escola ESTG. Estado da oferta: Disponível.",design e arquitetura de interiores; design de interiores; formação especializada; carreira profissional,design de interiores; arquitetura; espaços; design,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/pos-graduacoes/
"Engenharia Mecânica, Energia e Materiais",ESTG,Pós-graduação,,,,Viana do Castelo,"Engenharia Mecânica, Energia e Materiais",Não abre,,"formação especializada; desenvolvimento de competências em engenharia mecânica, energia e materiais; aplicação profissional na área","Formação do IPVC na área de engenharia mecânica, energia e materiais, associada à escola ESTG.","Engenharia Mecânica, Energia e Materiais — Pós-graduação do IPVC, na escola ESTG. Estado da oferta: Não abre.","engenharia mecânica, energia e materiais; engenharia mecânica, energia e materiais; formação especializada; carreira profissional",engenharia mecânica; energia; materiais; indústria,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/pos-graduacoes/
Gestão Industrial e Inovação,ESTG,Pós-graduação,,,,Viana do Castelo,Gestão Industrial e Inovação,Não abre,,formação especializada; desenvolvimento de competências em gestão industrial e inovação; aplicação profissional na área,"Formação do IPVC na área de gestão industrial e inovação, associada à escola ESTG.","Gestão Industrial e Inovação — Pós-graduação do IPVC, na escola ESTG. Estado da oferta: Não abre.",gestão industrial e inovação; gestão industrial e inovação; formação especializada; carreira profissional,gestão industrial; inovação; indústria; produção,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/pos-graduacoes/
Liderança em Economia Azul Sustentável,ESTG,Pós-graduação,,,,Viana do Castelo,Economia Azul e Sustentabilidade,Abre em 2025/26,,formação especializada; desenvolvimento de competências em economia azul e sustentabilidade; aplicação profissional na área,"Formação do IPVC na área de economia azul e sustentabilidade, associada à escola ESTG.","Liderança em Economia Azul Sustentável — Pós-graduação do IPVC, na escola ESTG. Estado da oferta: Abre em 2025/26.",economia azul e sustentabilidade; liderança em economia azul sustentável; formação especializada; carreira profissional,economia azul; sustentabilidade; liderança; mar,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/pos-graduacoes/
Tecnologia e Inovação em Vidro,ESTG,Pós-graduação,,,,Viana do Castelo,"Tecnologia, Materiais e Inovação",Disponível,,"formação especializada; desenvolvimento de competências em tecnologia, materiais e inovação; aplicação profissional na área","Formação do IPVC na área de tecnologia, materiais e inovação, associada à escola ESTG.","Tecnologia e Inovação em Vidro — Pós-graduação do IPVC, na escola ESTG. Estado da oferta: Disponível.","tecnologia, materiais e inovação; tecnologia e inovação em vidro; formação especializada; carreira profissional",vidro; tecnologia; inovação; materiais,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/pos-graduacoes/
Tecnologias em Energias Oceânicas,ESTG,Pós-graduação,,,,Viana do Castelo,"Energia, Mar e Tecnologia",Disponível,,"formação especializada; desenvolvimento de competências em energia, mar e tecnologia; aplicação profissional na área","Formação do IPVC na área de energia, mar e tecnologia, associada à escola ESTG.","Tecnologias em Energias Oceânicas — Pós-graduação do IPVC, na escola ESTG. Estado da oferta: Disponível.","energia, mar e tecnologia; tecnologias em energias oceânicas; formação especializada; carreira profissional",energias oceânicas; energia; mar; tecnologia,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/pos-graduacoes/
Cuidados Paliativos Pediátricos,ESS,Pós-graduação,,,,Viana do Castelo,Saúde e Cuidados Paliativos,Novo,,formação especializada; desenvolvimento de competências em saúde e cuidados paliativos; aplicação profissional na área,"Formação do IPVC na área de saúde e cuidados paliativos, associada à escola ESS.","Cuidados Paliativos Pediátricos — Pós-graduação do IPVC, na escola ESS. Estado da oferta: Novo.",saúde e cuidados paliativos; cuidados paliativos pediátricos; formação especializada; carreira profissional,cuidados paliativos; pediatria; saúde; enfermagem,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/pos-graduacoes/
Cuidados Paliativos,ESS,Pós-graduação,,,,Viana do Castelo,Saúde e Cuidados Paliativos,Não abre,,formação especializada; desenvolvimento de competências em saúde e cuidados paliativos; aplicação profissional na área,"Formação do IPVC na área de saúde e cuidados paliativos, associada à escola ESS.","Cuidados Paliativos — Pós-graduação do IPVC, na escola ESS. Estado da oferta: Não abre.",saúde e cuidados paliativos; cuidados paliativos; formação especializada; carreira profissional,cuidados paliativos; saúde; enfermagem; doentes,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/pos-graduacoes/
Enfermagem de Saúde Familiar,ESS,Pós-graduação,,,,Viana do Castelo,Enfermagem e Saúde Familiar,Não abre,,formação especializada; desenvolvimento de competências em enfermagem e saúde familiar; aplicação profissional na área,"Formação do IPVC na área de enfermagem e saúde familiar, associada à escola ESS.","Enfermagem de Saúde Familiar — Pós-graduação do IPVC, na escola ESS. Estado da oferta: Não abre.",enfermagem e saúde familiar; enfermagem de saúde familiar; formação especializada; carreira profissional,enfermagem; saúde familiar; cuidados de saúde; família,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/pos-graduacoes/
Quiromassagem,ESS,Pós-graduação,,,,Viana do Castelo,Terapias e Bem-Estar,Não abre,,formação especializada; desenvolvimento de competências em terapias e bem-estar; aplicação profissional na área,"Formação do IPVC na área de terapias e bem-estar, associada à escola ESS.","Quiromassagem — Pós-graduação do IPVC, na escola ESS. Estado da oferta: Não abre.",terapias e bem-estar; quiromassagem; formação especializada; carreira profissional,quiromassagem; massagem; bem-estar; terapias,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/pos-graduacoes/
Saúde Mental e Gestão do Stress,ESS,Pós-graduação,,,,Viana do Castelo,Saúde Mental e Bem-Estar,Não abre,,formação especializada; desenvolvimento de competências em saúde mental e bem-estar; aplicação profissional na área,"Formação do IPVC na área de saúde mental e bem-estar, associada à escola ESS.","Saúde Mental e Gestão do Stress — Pós-graduação do IPVC, na escola ESS. Estado da oferta: Não abre.",saúde mental e bem-estar; saúde mental e gestão do stress; formação especializada; carreira profissional,saúde mental; stress; gestão do stress; bem-estar,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/pos-graduacoes/
Fiscalidade e Contabilidade Ibérica,ESCE,Pós-graduação,,,,Valença,"Fiscalidade, Contabilidade e Gestão",Não abre,,"formação especializada; desenvolvimento de competências em fiscalidade, contabilidade e gestão; aplicação profissional na área","Formação do IPVC na área de fiscalidade, contabilidade e gestão, associada à escola ESCE.","Fiscalidade e Contabilidade Ibérica — Pós-graduação do IPVC, na escola ESCE. Estado da oferta: Não abre.","fiscalidade, contabilidade e gestão; fiscalidade e contabilidade ibérica; formação especializada; carreira profissional",fiscalidade; contabilidade; gestão; ibérico,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/pos-graduacoes/
Gestão da Qualidade,ESCE,Pós-graduação,,,,Valença,Gestão da Qualidade,Disponível,,formação especializada; desenvolvimento de competências em gestão da qualidade; aplicação profissional na área,"Formação do IPVC na área de gestão da qualidade, associada à escola ESCE.","Gestão da Qualidade — Pós-graduação do IPVC, na escola ESCE. Estado da oferta: Disponível.",gestão da qualidade; gestão da qualidade; formação especializada; carreira profissional,qualidade; gestão da qualidade; empresas; melhoria,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/pos-graduacoes/
Logística e Transporte Marítimo,ESCE,Pós-graduação,,,,Valença,Logística e Transporte Marítimo,Disponível,,formação especializada; desenvolvimento de competências em logística e transporte marítimo; aplicação profissional na área,"Formação do IPVC na área de logística e transporte marítimo, associada à escola ESCE.","Logística e Transporte Marítimo — Pós-graduação do IPVC, na escola ESCE. Estado da oferta: Disponível.",logística e transporte marítimo; logística e transporte marítimo; formação especializada; carreira profissional,logística; transporte marítimo; mar; cadeia de abastecimento,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/pos-graduacoes/
Marketing Digital e E-Business,ESCE,Pós-graduação,,,,Valença,Marketing Digital e Negócios Digitais,Disponível,,formação especializada; desenvolvimento de competências em marketing digital e negócios digitais; aplicação profissional na área,"Formação do IPVC na área de marketing digital e negócios digitais, associada à escola ESCE.","Marketing Digital e E-Business — Pós-graduação do IPVC, na escola ESCE. Estado da oferta: Disponível.",marketing digital e negócios digitais; marketing digital e e-business; formação especializada; carreira profissional,marketing digital; e-business; comércio eletrónico; negócios digitais,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/pos-graduacoes/
Marketing para a Economia Azul,ESCE,Pós-graduação,,,,Valença,Marketing e Economia Azul,Abre em 2023/24,"Aulas presenciais na ESAD, em Matosinhos",formação especializada; desenvolvimento de competências em marketing e economia azul; aplicação profissional na área,"Formação do IPVC na área de marketing e economia azul, associada à escola ESCE.","Marketing para a Economia Azul — Pós-graduação do IPVC, na escola ESCE. Estado da oferta: Abre em 2023/24.",marketing e economia azul; marketing para a economia azul; formação especializada; carreira profissional,marketing; economia azul; mar; sustentabilidade,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/pos-graduacoes/
Planeamento e Avaliação da Performance em Trail Running,ESDL,Pós-graduação,,,,Melgaço,Desporto e Trail Running,Não abre,,formação especializada; desenvolvimento de competências em desporto e trail running; aplicação profissional na área,"Formação do IPVC na área de desporto e trail running, associada à escola ESDL.","Planeamento e Avaliação da Performance em Trail Running — Pós-graduação do IPVC, na escola ESDL. Estado da oferta: Não abre.",desporto e trail running; planeamento e avaliação da performance em trail running; formação especializada; carreira profissional,trail running; performance; avaliação; desporto,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/pos-graduacoes/
Direito e Desporto,ESDL,Pós-graduação,,,,Melgaço,Direito Desportivo,Abre em 2023/24,,formação especializada; desenvolvimento de competências em direito desportivo; aplicação profissional na área,"Formação do IPVC na área de direito desportivo, associada à escola ESDL.","Direito e Desporto — Pós-graduação do IPVC, na escola ESDL. Estado da oferta: Abre em 2023/24.",direito desportivo; direito e desporto; formação especializada; carreira profissional,direito; desporto; direito desportivo; gestão desportiva,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/pos-graduacoes/
"Direito, Desporto e ESG",ESDL,Pós-graduação,,,,Melgaço,Direito Desportivo e ESG,Novo,,formação especializada; desenvolvimento de competências em direito desportivo e esg; aplicação profissional na área,"Formação do IPVC na área de direito desportivo e esg, associada à escola ESDL.","Direito, Desporto e ESG — Pós-graduação do IPVC, na escola ESDL. Estado da oferta: Novo.","direito desportivo e esg; direito, desporto e esg; formação especializada; carreira profissional",direito desportivo; esg; sustentabilidade; desporto,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/pos-graduacoes/
"Surf, Performance e Sustentabilidade",ESDL,Pós-graduação,,,,Melgaço,"Desporto, Surf e Sustentabilidade",Não abre,,"formação especializada; desenvolvimento de competências em desporto, surf e sustentabilidade; aplicação profissional na área","Formação do IPVC na área de desporto, surf e sustentabilidade, associada à escola ESDL.","Surf, Performance e Sustentabilidade — Pós-graduação do IPVC, na escola ESDL. Estado da oferta: Não abre.","desporto, surf e sustentabilidade; surf, performance e sustentabilidade; formação especializada; carreira profissional",surf; performance; sustentabilidade; desporto,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/pos-graduacoes/
Tecnologias do Desporto,ESDL,Pós-graduação,,,,Melgaço,Desporto e Tecnologia,Não abre,,formação especializada; desenvolvimento de competências em desporto e tecnologia; aplicação profissional na área,"Formação do IPVC na área de desporto e tecnologia, associada à escola ESDL.","Tecnologias do Desporto — Pós-graduação do IPVC, na escola ESDL. Estado da oferta: Não abre.",desporto e tecnologia; tecnologias do desporto; formação especializada; carreira profissional,tecnologias do desporto; desporto; tecnologia; treino,https://www.ipvc.pt/estudar/estudar-no-ipvc/cursos/pos-graduacoes/
Arte e Fabricação Digital,ESE,CTeSP,2,120,,Viana do Castelo,"Artes, Design e Fabricação Digital",Disponível,,"formação especializada; desenvolvimento de competências em artes, design e fabricação digital; aplicação profissional na área","Formação do IPVC na área de artes, design e fabricação digital, associada à escola ESE.","Arte e Fabricação Digital — CTeSP do IPVC, na escola ESE. Estado da oferta: Disponível.","artes, design e fabricação digital; arte e fabricação digital; formação especializada; carreira profissional",arte; fabricação digital; design; tecnologias artísticas,https://www.ipvc.pt/ctesp/
"Artes e Tecnologia [Luz, Som e Imagem]",ESE,CTeSP,2,120,,Viana do Castelo,"Artes, Som e Imagem",Disponível,,"formação especializada; desenvolvimento de competências em artes, som e imagem; aplicação profissional na área","Formação do IPVC na área de artes, som e imagem, associada à escola ESE.","Artes e Tecnologia [Luz, Som e Imagem] — CTeSP do IPVC, na escola ESE. Estado da oferta: Disponível.","artes, som e imagem; artes e tecnologia [luz, som e imagem]; formação especializada; carreira profissional",artes; luz; som; imagem; multimédia,https://www.ipvc.pt/ctesp/
Ilustração e Produção Gráfica,ESE,CTeSP,2,120,,Viana do Castelo,Ilustração e Produção Gráfica,Disponível,,formação especializada; desenvolvimento de competências em ilustração e produção gráfica; aplicação profissional na área,"Formação do IPVC na área de ilustração e produção gráfica, associada à escola ESE.","Ilustração e Produção Gráfica — CTeSP do IPVC, na escola ESE. Estado da oferta: Disponível.",ilustração e produção gráfica; ilustração e produção gráfica; formação especializada; carreira profissional,ilustração; produção gráfica; design; artes,https://www.ipvc.pt/ctesp/
Intervenção Educativa em Creche,ESE,CTeSP,2,120,,Viana do Castelo,Educação e Infância,Disponível,,formação especializada; desenvolvimento de competências em educação e infância; aplicação profissional na área,"Formação do IPVC na área de educação e infância, associada à escola ESE.","Intervenção Educativa em Creche — CTeSP do IPVC, na escola ESE. Estado da oferta: Disponível.",educação e infância; intervenção educativa em creche; formação especializada; carreira profissional,creche; infância; educação; intervenção educativa,https://www.ipvc.pt/ctesp/
Intervenção Sociocomunitária e Envelhecimento,ESE,CTeSP,2,120,,Viana do Castelo,Intervenção Social e Envelhecimento,Não abre,,formação especializada; desenvolvimento de competências em intervenção social e envelhecimento; aplicação profissional na área,"Formação do IPVC na área de intervenção social e envelhecimento, associada à escola ESE.","Intervenção Sociocomunitária e Envelhecimento — CTeSP do IPVC, na escola ESE. Estado da oferta: Não abre.",intervenção social e envelhecimento; intervenção sociocomunitária e envelhecimento; formação especializada; carreira profissional,intervenção social; envelhecimento; comunidade; idosos,https://www.ipvc.pt/ctesp/
Serviços Educativos e Património Local,ESE,CTeSP,2,120,,Viana do Castelo,Educação e Património Local,Não abre,,formação especializada; desenvolvimento de competências em educação e património local; aplicação profissional na área,"Formação do IPVC na área de educação e património local, associada à escola ESE.","Serviços Educativos e Património Local — CTeSP do IPVC, na escola ESE. Estado da oferta: Não abre.",educação e património local; serviços educativos e património local; formação especializada; carreira profissional,serviços educativos; património local; educação; cultura,https://www.ipvc.pt/ctesp/
Análise e Gestão Laboratorial,ESA,CTeSP,2,120,,Ponte de Lima,Análise Laboratorial,Não abre,,formação especializada; desenvolvimento de competências em análise laboratorial; aplicação profissional na área,"Formação do IPVC na área de análise laboratorial, associada à escola ESA.","Análise e Gestão Laboratorial — CTeSP do IPVC, na escola ESA. Estado da oferta: Não abre.",análise laboratorial; análise e gestão laboratorial; formação especializada; carreira profissional,laboratório; análise laboratorial; gestão laboratorial; ciência,https://www.ipvc.pt/ctesp/
Cuidados Veterinários,ESA,CTeSP,2,120,,Ponte de Lima,Saúde Animal e Cuidados Veterinários,Disponível,,formação especializada; desenvolvimento de competências em saúde animal e cuidados veterinários; aplicação profissional na área,"Formação do IPVC na área de saúde animal e cuidados veterinários, associada à escola ESA.","Cuidados Veterinários — CTeSP do IPVC, na escola ESA. Estado da oferta: Disponível.",saúde animal e cuidados veterinários; cuidados veterinários; formação especializada; carreira profissional,animais; veterinária; cuidados veterinários; saúde animal,https://www.ipvc.pt/ctesp/
"Produção Frutícola, Viticultura e Enologia",ESA,CTeSP,2,120,,Ponte de Lima,"Agricultura, Viticultura e Enologia",Não abre,,"formação especializada; desenvolvimento de competências em agricultura, viticultura e enologia; aplicação profissional na área","Formação do IPVC na área de agricultura, viticultura e enologia, associada à escola ESA.","Produção Frutícola, Viticultura e Enologia — CTeSP do IPVC, na escola ESA. Estado da oferta: Não abre.","agricultura, viticultura e enologia; produção frutícola, viticultura e enologia; formação especializada; carreira profissional",fruticultura; viticultura; enologia; agricultura,https://www.ipvc.pt/ctesp/
